(12299, 19383)
(12299, 19635)
(12300, 19382)
(15541, 43461)
(15542, 12546)
(15542, 34830)
(15542, 43462)
(15543, 43463)
(21122, 14506)
(21123, 14505)
(21124, 12136)
(21124, 14504)
(21124, 41702)
(30206, 24727)
(30207, 24728)
(30207, 25496)
(30207, 46910)
(30208, 25497)
(30735, 21881)
(30735, 35325)
(30839, 262)
(30839, 20064)
(30839, 37194)
(30840, 263)
(30840, 37193)
(34178, 3032)
(34178, 25727)
(34179, 25726)
(35445, 16197)
(35445, 45980)
(35446, 45981)
(56438, 25655)
(56439, 25654)
(56439, 26800)
(56439, 34100)
(56440, 34101)
(74495, 46911)
(74496, 24728)
(74496, 25496)
(74496, 46910)
(75904, 5788)
(75905, 5789)
(75906, 5790)
(75906, 48664)
(85952, 37896)
(85953, 11606)
(85953, 27707)
(85953, 37897)
(89603, 2128)
(96008, 17842)
(103013, 7773)
(103014, 7772)
(103014, 10308)
(104882, 262)
(104882, 20064)
(104882, 37194)
(105501, 5749)
(105501, 40529)
(105501, 43443)
(105502, 43442)
(109445, 19383)
(109445, 19635)
(109446, 19382)
(110160, 26119)
(110161, 6849)
(110161, 10027)
(110161, 26118)
(115031, 42590)
(115032, 42591)
(115033, 10351)
(115033, 37930)
(115033, 42592)
(117797, 25030)
(117797, 27757)
(117797, 49414)
(117798, 27756)
(120602, 1299)
(120602, 1915)
(120602, 38364)
(122867, 1299)
(122867, 1915)
(122867, 38364)
(123839, 4787)
(123839, 11565)
(123839, 28817)
(123840, 28816)
(123841, 28815)
(128850, 5348)
(128850, 46611)
(130890, 4595)
(130890, 31578)
(130890, 42168)
(130891, 4594)
(137878, 6697)
(137879, 3366)
(137879, 6696)
(137880, 6695)
(143251, 31581)
(143252, 31580)
(143253, 31579)
(143254, 4595)
(143254, 31578)
(143254, 42168)
(143255, 31577)
(143256, 31576)
(148519, 32725)
(180071, 10309)
(180072, 7772)
(180072, 10308)
(186657, 25030)
(186657, 27757)
(186657, 49414)
(191271, 41700)
(191272, 41701)
(191273, 12136)
(191273, 14504)
(191273, 41702)
(221158, 9503)
(221158, 18942)
(221158, 37235)
(225323, 6851)
(225324, 6850)
(225325, 6849)
(225325, 10027)
(225325, 26118)
(225326, 10026)
(225326, 26117)
(225327, 26116)
(247372, 21881)
(247372, 35325)
(251980, 23935)
(251980, 34756)
(252665, 11606)
(252665, 27707)
(252665, 37897)
(256011, 6388)
(256011, 12117)
(256449, 6584)
(256449, 11466)
(256449, 25254)
(258745, 34831)
(258746, 12546)
(258746, 34830)
(258746, 43462)
(258747, 12547)
(258747, 34829)
(259280, 17999)
(262563, 48760)
(262564, 48761)
(262565, 48762)
(268084, 25654)
(268084, 26800)
(268084, 34100)
(274243, 21820)
(274243, 38656)
(274244, 21819)
(274244, 38657)
(280818, 24878)
(280819, 24879)
(282957, 37932)
(282958, 37931)
(282959, 10351)
(282959, 37930)
(282959, 42592)
(282960, 37929)
(293006, 34755)
(293007, 23935)
(293007, 34756)
(300792, 28820)
(300793, 28819)
(300794, 11566)
(300794, 28818)
(300795, 4787)
(300795, 11565)
(300795, 28817)
(300796, 11564)
(300797, 11563)
(300798, 11562)
(331827, 4787)
(331827, 11565)
(331827, 28817)
(342349, 21821)
(342350, 21820)
(342350, 38656)
(344494, 24903)
(349010, 6917)
(349011, 6918)
(349012, 6919)
(350888, 25728)
(350889, 3032)
(350889, 25727)
(350890, 25726)
(350891, 25725)
(351881, 38362)
(351882, 38363)
(351883, 1299)
(351883, 1915)
(351883, 38364)
(351884, 1300)
(351884, 1914)
(357625, 25030)
(357625, 27757)
(357625, 49414)
(357626, 25031)
(360051, 6849)
(360051, 10027)
(360051, 26118)
(360887, 9068)
(360888, 9067)
(360888, 30680)
(360889, 9066)
(360890, 9065)
(362127, 27867)
(363940, 3523)
(368096, 5749)
(368096, 40529)
(368096, 43443)
(370911, 17999)
(371426, 6584)
(371426, 11466)
(371426, 25254)
(378025, 28123)
(378026, 28124)
(388392, 37233)
(388393, 37234)
(388394, 9503)
(388394, 18942)
(388394, 37235)
(388669, 37234)
(388670, 9503)
(388670, 18942)
(388670, 37235)
(388671, 37236)
(393791, 10352)
(393792, 10351)
(393792, 37930)
(393792, 42592)
(393793, 37929)
(395576, 5749)
(395576, 40529)
(395576, 43443)
(395577, 5750)
(395577, 40530)
(395578, 40531)
(395868, 34099)
(395869, 25654)
(395869, 26800)
(395869, 34100)
(395870, 34101)
(395871, 34102)
(400435, 9067)
(400435, 30680)
(401261, 262)
(401261, 20064)
(401261, 37194)
(403135, 41701)
(403136, 12136)
(403136, 14504)
(403136, 41702)
(403137, 12137)
(403137, 14503)
(403138, 14502)
(403139, 14501)
(405067, 5347)
(405067, 46612)
(405068, 5348)
(405068, 46611)
(408141, 48665)
(408142, 5790)
(408142, 48664)
(428960, 6389)
(428961, 6388)
(428961, 12117)
(428962, 6387)
(433070, 6584)
(433070, 11466)
(433070, 25254)
(433071, 25255)
(433572, 4595)
(433572, 31578)
(433572, 42168)
(448870, 27797)
(462291, 16198)
(462292, 16197)
(462292, 45980)
(462293, 45981)
(462476, 11607)
(462476, 27706)
(462477, 11606)
(462477, 27707)
(462477, 37897)
(469620, 24728)
(469620, 25496)
(469620, 46910)
(469621, 24729)
(480393, 3366)
(480393, 6696)
(480394, 3367)
(480395, 3368)
(480396, 3369)
(480543, 44479)
(480544, 44478)
(480545, 44477)
(482887, 25353)
(483167, 43460)
(483168, 43461)
(483169, 12546)
(483169, 34830)
(483169, 43462)
(483170, 12547)
(483170, 34829)
